Company,items,industry,중분류,description,sub_classification
SGA,"산업용컴퓨터 제조, 판매",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
1997년 설립되어 2001년 코스닥 시장에 상장함. 공공기관, 금융사, 기업 등의 서버, 스토리지를 설계하고 구축, 유지보수하는 것을 주요 사업으로 영위함.
2008년 12월 06일스캐니글로벌과의 합병을 통해 통합보안분야로 사업영역을 확장했고, 이후 M&A와 계열분리 등을 통해 현재의 사업구조를 갖추게 되었음.
정부부처를 비롯한 공공기관 및 금융기관, 기업 등에 IT서비스를 제공함.
출처 : 에프앤가이드","서버, 금융"
SGA솔루션즈,보안솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 보안운영체제, 응용보안 및 전자문서 솔루션 사업, 엔드포인트 보안의 정보보안 사업, 모토로라솔루션 무전솔루션판매를 통한 물리보안 사업을 진행중임.
정보보안은 네트워크 보안 시스템 개발, 시스템보안 솔루션 개발 분야의 매출 비중이 높음.
'패치체이서(Patch Chaser)'는 자사의 패치관리시스템으로 국내 최초로 CC인증을 획득하였으며, 현재 공공기관 시장에서 높은 점유율을 차지함.
출처 : 에프앤가이드","네트워크, 인증"
엑스게이트,통합 네트워크 보안 솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
2010년에 설립되었으며 VPN, 방화벽, UTM 등 정보보안을 위한 필수적인 제품을 개발, 생산 및 판매하는 통합 네트워크 보안 솔루션 기업임.
동사는 정보보호산업 내 정보보안 제품 및 서비스, 그 중에서도 네트워크보안 시스템 개발 부분을 주사업으로 영위함.
동사의 주요 제품군은 AXGATE Series, 유무선통합보안솔루션&원격전원제어솔루션, 통합관리시스템(TMS), SSL INSIDE이 있음.
출처 : 에프앤가이드",네트워크
코닉오토메이션,금융 지원 서비스(SPAC),'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 제어SW 사업, 스마트팩토리 사업, IT인프라 사업 등을 영위하고 있음.
반도체 설비 제어 SW인 EasyCluster 솔루션은 지난 25년간 전 세계 6,000 Copy 이상 설치되어 안정성 및 효율성을 인정받음.
실험실 자동화 시스템인 K-LAS 솔루션은 2차전지 핵심 소재인 양극재 품질 검사에 최적화 되어 에코프로비엠, 에코프로이엠 등 국내 양극재 소재 회사들에 납품되고 있음.
출처 : 에프앤가이드","인프라, 금융"
소프트캠프,통합보안솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
기업의 내부 정보를 지키고 외부 위협을 제거하는 솔루션을 제공하여 기업으로 하여금 안전하게 업무 할수 있는 환경을 제공하는 사업을 영위.
주요 목표시장은 정보유출방지 보안시장으로 DRM 기술을 적용한 문서보안 프로그램(Document Security)과 영역보안 제품인 S-Work.
신규사업으로 클라우드 환경에서 보안을 유지하면서 데이터사용과 협업을 할 수 있는 보안 클라우드 서비스인 Security365 서비스를 런칭.
출처 : 에프앤가이드","클라우드, 프로그램"
비투엔,"데이터컨설팅, 품질관리 솔루션",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2004년 10월 13일에 설립되어 응용소프트웨어 개발 및 공급업을 주요 사업으로 영위하고 있음. 2014년 12월 23일 비투엔컨설팅에서 비투엔으로 사명을 변경함.
데이터 전략수립, 빅데이터 시스템 설계 및 구축, 데이터 품질관리와 거버넌스 정책 수립, AI/ML 분석 기법을 활용한 컨설팅 및 구축 서비스를 수행하고 있음.
2021년 11월 18일 상상인이안제1호기업인수목적 주식회사와 합병하여 코스닥 시장에 신규상장함.
출처 : 에프앤가이드","IT연구 및 개발, 데이터베이스, 분석"
이노룰스,"InnoRules, InnoProduct",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 이노룰스(InnoRules)를 기반으로 하여 사용하는 5가지의 디지털 전환 자동화 SW 솔루션을 공급함.
'디지털 전환 자동화 SW 솔루션'은 디지털 전환을 빠르고 효과적으로 진행시킬 수 있어 금융 분야 뿐 아니라 제조, 공공, 유통, 서비스 등 모든 산업분야에 적용되고 있음.
기업의 디지털 전환 대상(노하우, 규칙, 처리 절차, 정책)을 이노룰스 제품에 탑재하는 것 만으로도 목표했던 디지털 전환을 효율적으로 달성함.
출처 : 에프앤가이드",금융
비플라이소프트,"아이서퍼, 위고몬 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1998년 08월 25일에 설립되어 2022년 06월 20일에 코스닥 시장에 상장함.
미디어 빅데이터와 인공지능 기술 기반의 구독형 컨텐츠 서비스 플랫폼을 운영하는 기업으로, 다년간에 걸쳐 국내 최대 규모의 미디어 빅데이터를 구축하였음.
핵심 서비스는 당사 매출액의 75% 이상을 차지하며 B2G, B2B를 주요 거래처로 확보하고 있는 <아이서퍼(Eyesurfer)> SssS 플랫폼을 중심으로 운용되고 있음.
출처 : 에프앤가이드",플랫폼
휴네시온,망간자료전송(i-oneNet),'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 제품에 대한 판매를 진행하는 솔루션사업본부, 클라우드사업본부와 사업초기 고객환경 분석 및 제안 등을 담당하는 컨설팅그룹을 운영하고 있음.
정보보호 분야의 사업을 주로 하고 있으며 망연계 솔루션 시장에 집중함과 동시에 다양한 보안 솔루션을 제공하는 사업을 영위.
동사가 개발한 보안 솔루션은 서버에 탑재하여 고객사에 공급하고 있어 원재료는 서버의 비중이 가장 높음.
출처 : 에프앤가이드","서버, 클라우드, 분석"
와이더플래닛,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2010년 7월 17일에 설립하여 소프트웨어, 데이터베이스, 정보처리 및 제공기술, 시스템 개발 등을 주요 사업으로 영위하고 있음.
주로 빅데이터분석 및 인공지능에 기반한 자동화된 프로그래매틱 마케팅 서비스플랫폼을 기업에게 제공하고 마케팅과 광고 성과에 기준하여 수익을 창출하고 있음.
자연어 처리 및 사용자 문맥 인식, 사용자 프로파일링, 성과 예측, 최적화술, 매체 효율 제어, DPA와 같은 핵심 기술들을 개발하고 있음.
출처 : 에프앤가이드",플랫폼
싸이버원,보안관제 및 보안컨설팅 등,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 정보보안 관련 서비스 사업을 영위하고 있으며, 그 중 보안관제 및 보안 컨설팅을 주력 사업으로 영위함.
동사는 과학기술정보통신부로부터 정보보호 전문서비스 기업으로 지정 및 행정안전부로부터 개인정보영향 평가기관으로 지정되어있음.
동사는 오랜 보안컨설팅 역량을 바탕으로 고객사 비즈니스 및 IT 환경에 필요한 정보보호전략 수립부터 기타 정보보호 운영 지원 등 전 분야에 대한 One Stop Service를 제공하고 있음.
출처 : 에프앤가이드","보안, 고객 지원"
지란지교시큐리티,보안 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2014년 지란지교소프트 보안사업본부에서 분사하여 설립되었음.
보안기술이 적용된 제품을 제조 또는 판매하거나, 보안기술 및 보안제품을 활용하여 재난·재해·범죄 등에 대응하거나 관련 장비·시설을 안전하게 운용하기 위한 모든 서비스 제공과 관련된 사업을 영위하고 있음.
주요 제품군으로는 스팸차단 SW(스팸차단 솔루션), 콘텐츠보안(문서중앙화/보안웹파일서버), 모바일보안(통합모바일보안 솔루션) 3분야가 있음.
출처 : 에프앤가이드",서버
에스에스알,"취약점 진단 솔루션, 모의해킹 컨설팅",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
정보보호 컨설팅 및 보안 소프트웨어 기업으로 정보 보안제품의 판매와 솔루션 도입 고객에 대한 유지보수 및 기술지원 용역을 제공하는 정보보안 회사임.
동사의 제품은 보안관리 제품에 속하는 취약점 분석 시스템, 보안컨설팅 서비스에 속하는 진단 및 모의해킹 서비스가 있음.
취약점 자동화 솔루션인 솔리드스텝은 시장에서 58%(CCE 기준)의 점유율을 지닌 제품으로 소상공인과 중소기업에 필수적인 솔루션으로 자리매김하고 있음.
출처 : 에프앤가이드","해킹, 분석"
모코엠시스,"연계솔루션, 보안솔루션, APM솔루션",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2019년 코스닥시장에 상장하여 기업 고객을 대상으로 연계솔루션, 보안솔루션, APM솔루션을 개발, 판매 사업을 영위하고 있음.
현재 제조, 금융, 서비스, 공공 등 전 분야의 기업 고객을 대상으로 연계솔루션, 보안솔루션, APM솔루션을 개발, 판매, 구축, 유지보수하는 사업을 수행하고 있음.
스팩합병을 통해 사업을 확장 및 안정화 하여 재무적 부담 없는 외형 확장과 경쟁력 제고를 목표로 하고 있음.
출처 : 에프앤가이드",금융
아이티아이즈,"디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2012년 8월 7일 설립되어, 금융권 IT Compliance를 비롯하여 클라우드 기반 디지털 플랫폼 등으로 사업분야를 확장시키고있는 금융서비스를 주요사업으로 영위하고 있음.
연결대상 종속회사로 컴퓨터시스템통합자문 및 구축 서비스업을 주요사업으로 하고 있는 씨에이웨이브가 있음. 독자적인 기술로 클라우드 기반의 디지털 플랫폼인 GURMWI™를 개발함.
2021년 코스닥시장에 신규 상장함.
출처 : 에프앤가이드","클라우드, 플랫폼, 금융"
